gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
lcl|NW_015622505.1_cds_XP_016226445.1_2906	603.0373165021763	-2.3676293791597143	0.2662376878062687	-8.892915945403455	5.952584146086344e-19	3.320179313771895e-17
lcl|NW_015622508.1_cds_XP_016221160.1_7807	103.25656113431211	3.3491486028157595	0.3771897477240647	8.879214302679955	6.73342723172642e-19	3.733221720871552e-17
lcl|NW_015622508.1_cds_XP_016222003.1_8650	40783.737565477175	-2.482027849370393	0.27970883815310804	-8.873612524219816	7.081062450945878e-19	3.902592692458803e-17
lcl|NW_015622506.1_cds_XP_016224600.1_4791	860.5455355806183	-5.682449638969583	0.6422921109498009	-8.847142199156954	8.97889528816233e-19	4.919265767638758e-17
lcl|NW_015622506.1_cds_XP_016224997.1_5188	3027.3260478789202	2.6451680629466443	0.2999334073824539	8.819184518427829	1.1529630981438212e-18	6.279579603360965e-17
lcl|NW_015622507.1_cds_XP_016223736.1_7422	405.4107834882927	-2.2503316580317714	0.2553236228297411	-8.813644554669244	1.2114173108653626e-18	6.559364258071574e-17
lcl|NW_015622504.1_cds_XP_016227986.1_316	1853.00334641133	-3.867304260710271	0.4394344446779597	-8.80063979405263	1.3603833948704437e-18	7.323133635526418e-17
lcl|NW_015622504.1_cds_XP_016229601.1_1931	263.62558478106706	2.686570207537768	0.3052997172233026	8.799779547691996	1.3708517937413687e-18	7.336830496099037e-17
lcl|NW_015622508.1_cds_XP_016221643.1_8290	1312.5717211788983	-2.7124363721862004	0.3086146622274181	-8.789071629355725	1.5080090053207468e-18	8.024514586359078e-17
lcl|NW_015622507.1_cds_XP_016223936.1_7622	3057.6462498241435	-2.862752578394497	0.3259583616564514	-8.782571380732785	1.5977910602452898e-18	8.45368424389208e-17
lcl|NW_015622507.1_cds_XP_016223528.1_7214	366.1590521785342	2.2551713060249576	0.2568409696945183	8.78041890554772	1.6286690915273835e-18	8.568094953665934e-17
lcl|NW_015622505.1_cds_XP_016225744.1_2205	600.3161900159927	-4.665194982242289	0.5322853030952448	-8.764463258921728	1.8766861198149997e-18	9.817082928455978e-17
lcl|NW_015622505.1_cds_XP_016227148.1_3609	51437.56283107411	-3.675675248046231	0.41995924492337333	-8.752457035960484	2.087570079886691e-18	1.0858882791949928e-16
lcl|NW_015622505.1_cds_XP_016227490.1_3950	2928.747786979035	-1.560085071315707	0.1783734553287409	-8.74617284528397	2.2071094448810736e-18	1.1416399983363356e-16
lcl|NW_015622506.1_cds_XP_016224333.1_4525	9343.779390385602	4.61945299821717	0.5282063958397769	8.745545367493824	2.2194103002542433e-18	1.1416399983363356e-16
lcl|NW_015622505.1_cds_XP_016226735.1_3196	188.41665678974877	2.3025506016088566	0.2635940412219005	8.735214919636624	2.4319329680017304e-18	1.2440479199297248e-16
