gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
lcl|NW_015622507.1_cds_XP_016222715.1_6401	4913.290168560852	7.2216684026483335	0.23484456424671227	30.750843332535997	1.1914462609516894e-207	1.1031600930151691e-203
lcl|NW_015622508.1_cds_XP_016222006.1_8652	37321.83399028732	-3.6566566602419455	0.13576527446512382	-26.93366676160839	8.862864937249182e-160	4.103063322699509e-156
lcl|NW_015622510.1_cds_XP_016219714.1_10149	962.2946158705834	6.547990697777526	0.3021701585647891	21.669878749372113	3.947941351868353e-104	1.2184662992316362e-100
lcl|NW_015622504.1_cds_XP_016228679.1_1009	2541.524614332255	-4.9820246085942514	0.2578506704080452	-19.321356041891473	3.551960497524025e-83	8.221900561643737e-80
lcl|NW_015622504.1_cds_XP_016228290.1_620	4123.146057293914	4.790901001539872	0.25077684518275106	19.10423985934009	2.3279293200883827e-81	4.310859514939667e-78
lcl|NW_015622509.1_cds_XP_016220667.1_9735	4541.074066423266	-4.207489457092588	0.22220170213999094	-18.935451063474734	5.821493816665412e-80	8.983535208084175e-77
lcl|NW_015622504.1_cds_XP_016229037.1_1367	2315.635539310289	5.31100581754899	0.2868939757527783	18.51208553129599	1.64987499616978e-76	2.1823132270765707e-73
lcl|NW_015622504.1_cds_XP_016229170.1_1500	972.1514431858033	4.5623291410302524	0.26424222081500404	17.265708435838263	8.525117195555675e-67	9.86675751420625e-64
lcl|NW_015622509.1_cds_XP_016220409.1_9477	8434.70488419639	-4.723947220987873	0.2778021122452477	-17.004720312628525	7.576591135938605e-65	7.794628591961727e-62
lcl|NW_015622506.1_cds_XP_016225484.1_5675	21678.11777633349	-4.565403773663964	0.2722497829802219	-16.76917323381531	4.1017622994126417e-63	3.7978217130261647e-60
lcl|NW_015622508.1_cds_XP_016221432.1_8079	12878.592517954383	-3.8754121845493357	0.24171826873887414	-16.03276494064214	7.544966196013516e-58	6.350803818989922e-55
