Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0017056;structural constituent of nuclear pore;oct-19;nov-21;0,00112;0,08212;0,07792;PV10_08458/PV10_06388/PV10_09190/PV10_03595/PV10_07349/PV10_08034/PV10_05223/PV10_01839/PV10_00497/PV10_00608;10;Molecular process;0.5;0.5
GO:0051179;localization;205/1341;410/3125;0,00116;0,10245;0,09544;PV10_07783/PV10_03509/PV10_01802/PV10_00693/PV10_06901/PV10_07807/PV10_08713/PV10_06975/PV10_01327/PV10_00254/PV10_06133/PV10_04601/PV10_03731/PV10_05796/PV10_01814/PV10_02760/PV10_04257/PV10_04526/PV10_07633/PV10_05656/PV10_00656/PV10_03955/PV10_04855/PV10_06981/PV10_08017/PV10_01597/PV10_02093/PV10_07434/PV10_09187/PV10_06980/PV10_01594/PV10_03681/PV10_02814/PV10_02768/PV10_06247/PV10_04901/PV10_07255/PV10_04924/PV10_05657/PV10_00740/PV10_01636/PV10_00920/PV10_03559/PV10_04533/PV10_05447/PV10_05520/PV10_07539/PV10_07581/PV10_03160/PV10_04363/PV10_01735/PV10_06555/PV10_07573/PV10_04993/PV10_02078/PV10_01518/PV10_00849/PV10_07384/PV10_05666/PV10_01085/PV10_00059/PV10_03514/PV10_05939/PV10_06388/PV10_07334/PV10_01691/PV10_03180/PV10_07095/PV10_07964/PV10_01021/PV10_07457/PV10_02551/PV10_02286/PV10_03812/PV10_04100/PV10_01872/PV10_00154/PV10_00900/PV10_03625/PV10_02642/PV10_01158/PV10_05720/PV10_01037/PV10_00863/PV10_01658/PV10_02373/PV10_07235/PV10_01569/PV10_08757/PV10_04740/PV10_00715/PV10_08768/PV10_02343/PV10_06137/PV10_07231/PV10_02828/PV10_09190/PV10_05325/PV10_00741/PV10_03055/PV10_02715/PV10_07515/PV10_07062/PV10_03333/PV10_04191/PV10_03450/PV10_04760/PV10_08541/PV10_03595/PV10_09086/PV10_04468/PV10_01003/PV10_03618/PV10_00775/PV10_01257/PV10_07611/PV10_05647/PV10_09121/PV10_08854/PV10_06526/PV10_01568/PV10_05998/PV10_08097/PV10_07541/PV10_03670/PV10_05978/PV10_07019/PV10_00114/PV10_06274/PV10_01315/PV10_08090/PV10_00846/PV10_07996/PV10_07763/PV10_05804/PV10_02526/PV10_08727/PV10_06385/PV10_03266/PV10_07350/PV10_07821/PV10_07513/PV10_01604/PV10_08615/PV10_05398/PV10_07832/PV10_06024/PV10_08034/PV10_04894/PV10_06665/PV10_07042/PV10_00613/PV10_02310/PV10_05121/PV10_08696/PV10_01741/PV10_02623/PV10_05223/PV10_01419/PV10_04242/PV10_06405/PV10_05128/PV10_05655/PV10_03637/PV10_07049/PV10_01899/PV10_04667/PV10_06325/PV10_05390/PV10_04150/PV10_08524/PV10_03558/PV10_01839/PV10_05143/PV10_06038/PV10_06510/PV10_02328/PV10_02716/PV10_03292/PV10_06046/PV10_04497/PV10_01270/PV10_02751/PV10_06754/PV10_05809/PV10_08306/PV10_05562/PV10_00022/PV10_04860/PV10_03246/PV10_03535/PV10_03046/PV10_00149/PV10_04252/PV10_07809/PV10_00608/PV10_02584/PV10_01657/PV10_05649/PV10_01122/PV10_00783/PV10_05858/PV10_00437/PV10_06757/PV10_00703;205;Biologycal process;1.2;15.3
GO:0008289;lipid binding;31/2019;48/4821;0,0012;0,08212;0,07792;PV10_07783/PV10_06975/PV10_04601/PV10_03123/PV10_07633/PV10_00656/PV10_03559/PV10_07774/PV10_08776/PV10_03514/PV10_05720/PV10_06953/PV10_01119/PV10_02449/PV10_01569/PV10_03201/PV10_08443/PV10_06137/PV10_08761/PV10_03055/PV10_03338/PV10_07515/PV10_01568/PV10_06274/PV10_07646/PV10_03637/PV10_01899/PV10_06325/PV10_08684/PV10_03304/PV10_00346;31;Molecular process;5.7;1.5
GO:0006289;nucleotide-excision repair;12/1341;14/3125;0,00127;0,10245;0,09544;PV10_02437/PV10_01662/PV10_00436/PV10_04035/PV10_02711/PV10_06426/PV10_05091/PV10_06162/PV10_02203/PV10_07520/PV10_00388/PV10_06413;12;Biologycal process;2;0.9
GO:0005839;proteasome core complex;12/1627;14/3748;0,00144;0,05442;0,05008;PV10_02236/PV10_07900/PV10_02368/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_02330/PV10_00892/PV10_05622/PV10_07726/PV10_02120;12;Cellular component;2;0.7
GO:0009056;catabolic process;151/1341;295/3125;0,00163;0,11491;0,10704;PV10_08473/PV10_06009/PV10_00069/PV10_08635/PV10_06440/PV10_02009/PV10_02236/PV10_04899/PV10_05930/PV10_08713/PV10_07900/PV10_06975/PV10_07892/PV10_02368/PV10_00949/PV10_07340/PV10_07324/PV10_04269/PV10_02961/PV10_06891/PV10_05084/PV10_02975/PV10_05319/PV10_03023/PV10_02070/PV10_05566/PV10_03306/PV10_08191/PV10_04548/PV10_00095/PV10_05656/PV10_02962/PV10_07077/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_04895/PV10_03170/PV10_05445/PV10_06927/PV10_00073/PV10_05899/PV10_05783/PV10_06500/PV10_03584/PV10_05594/PV10_00493/PV10_05622/PV10_05110/PV10_02772/PV10_02455/PV10_00864/PV10_00056/PV10_07726/PV10_00316/PV10_02763/PV10_02444/PV10_06497/PV10_09226/PV10_06162/PV10_04578/PV10_04182/PV10_03982/PV10_07927/PV10_02340/PV10_03812/PV10_03234/PV10_06615/PV10_00154/PV10_02642/PV10_05832/PV10_00237/PV10_05486/PV10_01010/PV10_03352/PV10_06684/PV10_00515/PV10_02524/PV10_05158/PV10_03691/PV10_02120/PV10_03718/PV10_08363/PV10_00251/PV10_07515/PV10_07150/PV10_00764/PV10_00250/PV10_08095/PV10_00239/PV10_07247/PV10_05479/PV10_02072/PV10_07904/PV10_07976/PV10_06243/PV10_01670/PV10_00368/PV10_04064/PV10_02951/PV10_03506/PV10_04822/PV10_02166/PV10_08727/PV10_04204/PV10_00560/PV10_09047/PV10_08612/PV10_08615/PV10_07832/PV10_06160/PV10_03445/PV10_01723/PV10_00730/PV10_03996/PV10_00645/PV10_05147/PV10_08193/PV10_00814/PV10_02805/PV10_02075/PV10_01766/PV10_05305/PV10_07516/PV10_00421/PV10_04058/PV10_04409/PV10_08088/PV10_08304/PV10_03909/PV10_00845/PV10_07010/PV10_00691/PV10_05024/PV10_08379/PV10_07721/PV10_08039/PV10_03535/PV10_03775/PV10_07205/PV10_06620/PV10_00346/PV10_00522/PV10_05909/PV10_06527/PV10_04729/PV10_02785/PV10_05765/PV10_07524/PV10_00643;151;Biologycal process;1.2;1.1
GO:0033554;cellular response to stress;84/1341;154/3125;0,00191;0,11688;0,10887;PV10_02437/PV10_03166/PV10_06154/PV10_01908/PV10_03929/PV10_01662/PV10_04167/PV10_03287/PV10_08813/PV10_08240/PV10_03455/PV10_01113/PV10_01841/PV10_00436/PV10_01732/PV10_04579/PV10_06358/PV10_04868/PV10_03105/PV10_04035/PV10_00164/PV10_02216/PV10_03174/PV10_02711/PV10_01431/PV10_00213/PV10_04600/PV10_06426/PV10_02185/PV10_03991/PV10_08681/PV10_05091/PV10_06162/PV10_05473/PV10_04153/PV10_02782/PV10_05490/PV10_07454/PV10_08108/PV10_04686/PV10_01241/PV10_04133/PV10_08517/PV10_03795/PV10_07071/PV10_02203/PV10_00335/PV10_01834/PV10_05828/PV10_06521/PV10_01828/PV10_02984/PV10_07876/PV10_05603/PV10_00658/PV10_07084/PV10_00207/PV10_01567/PV10_02860/PV10_04946/PV10_04951/PV10_03688/PV10_03946/PV10_07655/PV10_01949/PV10_06954/PV10_00814/PV10_05118/PV10_07469/PV10_07520/PV10_08382/PV10_02403/PV10_00388/PV10_08180/PV10_01851/PV10_05011/PV10_02356/PV10_01341/PV10_07012/PV10_06413/PV10_03775/PV10_06527/PV10_08744/PV10_06582;84;Biologycal process;1.3;6.3
GO:0003684;damaged DNA binding;nov-19;13/4821;0,00204;0,08726;0,08281;PV10_06154/PV10_08240/PV10_06426/PV10_06162/PV10_04153/PV10_05490/PV10_08108/PV10_01834/PV10_07520/PV10_02403/PV10_06413;11;Molecular process;2;0.5
GO:0006352;DNA-templated transcription initiation;20/1341;28/3125;0,00207;0,11688;0,10887;PV10_06482/PV10_03751/PV10_01351/PV10_06375/PV10_00806/PV10_01196/PV10_04936/PV10_04282/PV10_06838/PV10_01137/PV10_04777/PV10_01598/PV10_06381/PV10_07107/PV10_00398/PV10_00388/PV10_05032/PV10_03370/PV10_04003/PV10_03730;20;Biologycal process;1.7;1.5
GO:0005198;structural molecule activity;80/2019;149/4821;0,00209;0,08726;0,08281;PV10_07613/PV10_05553/PV10_08458/PV10_08795/PV10_02093/PV10_00740/PV10_02069/PV10_05939/PV10_06388/PV10_01873/PV10_03156/PV10_03437/PV10_04263/PV10_07326/PV10_00985/PV10_05545/PV10_00375/PV10_06551/PV10_00694/PV10_03125/PV10_07600/PV10_03577/PV10_04847/PV10_09190/PV10_02161/PV10_06880/PV10_08512/PV10_08040/PV10_03587/PV10_03595/PV10_08983/PV10_02628/PV10_00112/PV10_00335/PV10_07611/PV10_09063/PV10_00334/PV10_02361/PV10_07349/PV10_05700/PV10_02234/PV10_05973/PV10_04971/PV10_08408/PV10_06723/PV10_07996/PV10_05537/PV10_02002/PV10_02316/PV10_05002/PV10_03218/PV10_03648/PV10_08034/PV10_05999/PV10_08022/PV10_06240/PV10_07410/PV10_02543/PV10_05223/PV10_03362/PV10_02281/PV10_08440/PV10_06384/PV10_08172/PV10_01839/PV10_00889/PV10_01402/PV10_00497/PV10_08330/PV10_06843/PV10_00557/PV10_04482/PV10_08745/PV10_00608/PV10_01659/PV10_05145/PV10_04118/PV10_05892/PV10_06763/PV10_05478;80;Molecular process;1.3;4
