Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0071944;cell periphery;64/1627;115/3748;0,0049;0,08228;0,07571;PV10_05644/PV10_05015/PV10_01327/PV10_02093/PV10_01307/PV10_00705/PV10_08380/PV10_08661/PV10_07672/PV10_01465/PV10_05520/PV10_03106/PV10_03902/PV10_01466/PV10_07573/PV10_04993/PV10_00793/PV10_05666/PV10_06668/PV10_00912/PV10_07457/PV10_01259/PV10_05408/PV10_04589/PV10_00706/PV10_05720/PV10_02257/PV10_05480/PV10_05979/PV10_05013/PV10_02056/PV10_09048/PV10_07071/PV10_01244/PV10_00525/PV10_05124/PV10_07611/PV10_07576/PV10_06526/PV10_03128/PV10_07640/PV10_02486/PV10_06274/PV10_01604/PV10_01878/PV10_05614/PV10_01690/PV10_08182/PV10_01360/PV10_06262/PV10_06405/PV10_02716/PV10_04900/PV10_00982/PV10_04864/PV10_03451/PV10_01827/PV10_05348/PV10_03797/PV10_06743/PV10_00797/PV10_02800/PV10_06757/PV10_04059;64;Cellular component;1.3;3.9
GO:0008233;peptidase activity;81/2019;155/4821;0,00518;0,142;0,13474;PV10_08151/PV10_04789/PV10_04732/PV10_00291/PV10_04899/PV10_07900/PV10_07892/PV10_07663/PV10_03023/PV10_00095/PV10_02962/PV10_08600/PV10_07260/PV10_04764/PV10_03170/PV10_05328/PV10_02949/PV10_00235/PV10_00676/PV10_06888/PV10_00493/PV10_00311/PV10_07498/PV10_05045/PV10_02763/PV10_02444/PV10_06497/PV10_00496/PV10_02493/PV10_08292/PV10_05745/PV10_04036/PV10_00264/PV10_03181/PV10_04889/PV10_06615/PV10_05090/PV10_00036/PV10_01884/PV10_00237/PV10_02524/PV10_08766/PV10_06416/PV10_07227/PV10_02759/PV10_05053/PV10_05479/PV10_03660/PV10_03578/PV10_09145/PV10_00552/PV10_01647/PV10_03825/PV10_03111/PV10_07361/PV10_04108/PV10_09041/PV10_02112/PV10_00540/PV10_02290/PV10_01426/PV10_03122/PV10_01143/PV10_01861/PV10_03726/PV10_04858/PV10_04960/PV10_07516/PV10_07422/PV10_02189/PV10_08986/PV10_08485/PV10_04105/PV10_07102/PV10_03328/PV10_05695/PV10_09185/PV10_02050/PV10_02480/PV10_06156/PV10_07119;81;Molecular process;1.2;4
GO:0006508;proteolysis;97/1341;186/3125;0,00559;0,21508;0,20035;PV10_08151/PV10_04789/PV10_06440/PV10_02236/PV10_04732/PV10_00291/PV10_04899/PV10_08713/PV10_07900/PV10_06975/PV10_07892/PV10_07663/PV10_02368/PV10_04269/PV10_06891/PV10_02975/PV10_03023/PV10_00095/PV10_02962/PV10_08600/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_04764/PV10_03170/PV10_05328/PV10_02949/PV10_00676/PV10_05783/PV10_06888/PV10_00493/PV10_00311/PV10_05622/PV10_07498/PV10_00864/PV10_07726/PV10_05045/PV10_02444/PV10_06497/PV10_00496/PV10_06162/PV10_02493/PV10_08292/PV10_04578/PV10_05745/PV10_03982/PV10_04036/PV10_00264/PV10_03181/PV10_04889/PV10_06615/PV10_00036/PV10_01884/PV10_00237/PV10_06684/PV10_02524/PV10_08766/PV10_06416/PV10_02120/PV10_07227/PV10_08363/PV10_05782/PV10_07150/PV10_05053/PV10_05479/PV10_09145/PV10_06243/PV10_01647/PV10_03111/PV10_07361/PV10_09041/PV10_02112/PV10_01426/PV10_00605/PV10_03122/PV10_01143/PV10_06160/PV10_03996/PV10_01861/PV10_04960/PV10_07516/PV10_07422/PV10_02189/PV10_08485/PV10_04105/PV10_00691/PV10_03535/PV10_03328/PV10_03775/PV10_05695/PV10_02050/PV10_06313/PV10_06527/PV10_02480/PV10_06156/PV10_07119;97;Biologycal process;2.3;7.2
GO:0044248;cellular catabolic process;109/1341;212/3125;0,00607;0,21508;0,20035;PV10_08473/PV10_06009/PV10_00069/PV10_06440/PV10_02009/PV10_02236/PV10_04899/PV10_05930/PV10_08713/PV10_06975/PV10_07892/PV10_00949/PV10_07340/PV10_07324/PV10_04269/PV10_06891/PV10_02975/PV10_03306/PV10_08191/PV10_05656/PV10_02962/PV10_07077/PV10_06664/PV10_00892/PV10_03170/PV10_06927/PV10_00073/PV10_05783/PV10_06500/PV10_03584/PV10_05594/PV10_00493/PV10_05622/PV10_02455/PV10_00864/PV10_07726/PV10_00316/PV10_02763/PV10_06497/PV10_09226/PV10_06162/PV10_04578/PV10_04182/PV10_03982/PV10_07927/PV10_03812/PV10_03234/PV10_06615/PV10_00154/PV10_02642/PV10_05832/PV10_00237/PV10_01010/PV10_06684/PV10_00515/PV10_02524/PV10_05158/PV10_03718/PV10_08363/PV10_07515/PV10_07150/PV10_00764/PV10_00250/PV10_08095/PV10_05479/PV10_07904/PV10_07976/PV10_06243/PV10_00368/PV10_04064/PV10_02951/PV10_03506/PV10_04822/PV10_02166/PV10_08727/PV10_08612/PV10_08615/PV10_07832/PV10_06160/PV10_03445/PV10_01723/PV10_00730/PV10_03996/PV10_00645/PV10_05147/PV10_08193/PV10_00814/PV10_02805/PV10_01766/PV10_07516/PV10_00421/PV10_04409/PV10_08088/PV10_03909/PV10_07010/PV10_00691/PV10_05024/PV10_08379/PV10_07721/PV10_08039/PV10_03535/PV10_03775/PV10_00522/PV10_05909/PV10_06527/PV10_04729/PV10_05765/PV10_07524/PV10_00643;109;Biologycal process;1.2;8.1
GO:0009057;macromolecule catabolic process;74/1341;138/3125;0,00621;0,21508;0,20035;PV10_06440/PV10_02236/PV10_04899/PV10_08713/PV10_07900/PV10_06975/PV10_07892/PV10_02368/PV10_04269/PV10_06891/PV10_02975/PV10_05319/PV10_03023/PV10_02070/PV10_04548/PV10_00095/PV10_02962/PV10_06664/PV10_02330/PV10_07260/PV10_00892/PV10_03170/PV10_05445/PV10_00073/PV10_05899/PV10_05783/PV10_00493/PV10_05622/PV10_05110/PV10_00864/PV10_07726/PV10_02444/PV10_06497/PV10_09226/PV10_06162/PV10_04578/PV10_03982/PV10_06615/PV10_00237/PV10_01010/PV10_06684/PV10_02524/PV10_05158/PV10_02120/PV10_08363/PV10_00251/PV10_07150/PV10_00250/PV10_00239/PV10_05479/PV10_06243/PV10_01670/PV10_03506/PV10_04822/PV10_04204/PV10_09047/PV10_06160/PV10_03445/PV10_01723/PV10_00730/PV10_03996/PV10_00814/PV10_02805/PV10_07516/PV10_00691/PV10_05024/PV10_08379/PV10_03535/PV10_03775/PV10_06620/PV10_05909/PV10_06527/PV10_02785/PV10_07524;74;Biologycal process;1.2;5.5
GO:0008094;ATP-dependent activity, acting on DNA;32/2019;54/4821;0,00721;0,16569;0,15722;PV10_06154/PV10_06278/PV10_03580/PV10_01824/PV10_02663/PV10_00164/PV10_02216/PV10_02711/PV10_01431/PV10_03991/PV10_08681/PV10_02119/PV10_06476/PV10_02782/PV10_00133/PV10_04686/PV10_08001/PV10_04133/PV10_04448/PV10_06521/PV10_00376/PV10_02984/PV10_00216/PV10_03688/PV10_01680/PV10_03089/PV10_06514/PV10_05011/PV10_08739/PV10_05907/PV10_02418/PV10_00822;32;Molecular process;1.4;1.6
GO:0015318;inorganic molecular entity transmembrane transporter activity;70/2019;133/4821;0,00726;0,16569;0,15722;PV10_03937/PV10_02139/PV10_03210/PV10_02761/PV10_02141/PV10_00452/PV10_03038/PV10_05068/PV10_05812/PV10_07195/PV10_03639/PV10_07101/PV10_05464/PV10_06213/PV10_02569/PV10_01751/PV10_03681/PV10_08033/PV10_08380/PV10_08661/PV10_06561/PV10_02472/PV10_07539/PV10_07573/PV10_06668/PV10_05379/PV10_08296/PV10_03702/PV10_08283/PV10_04589/PV10_01037/PV10_04769/PV10_02176/PV10_00853/PV10_01486/PV10_05779/PV10_02199/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_07640/PV10_07541/PV10_01169/PV10_01315/PV10_04709/PV10_03432/PV10_00124/PV10_05703/PV10_07128/PV10_07210/PV10_05525/PV10_02310/PV10_08182/PV10_08251/PV10_05324/PV10_06559/PV10_03831/PV10_01270/PV10_05809/PV10_04900/PV10_04941/PV10_04864/PV10_03451/PV10_06593/PV10_04628/PV10_02800/PV10_04059/PV10_01274;70;Molecular process;1.3;3.5
GO:0009894;regulation of catabolic process;11/1341;14/3125;0,00734;0,21508;0,20035;PV10_02070/PV10_05110/PV10_09226/PV10_01010/PV10_05158/PV10_00239/PV10_03506/PV10_00730/PV10_02805/PV10_05909/PV10_07524;11;Biologycal process;1.8;0.8
GO:0051168;nuclear export;11/1341;14/3125;0,00734;0,21508;0,20035;PV10_00693/PV10_07807/PV10_00254/PV10_06133/PV10_01518/PV10_06388/PV10_08034/PV10_07049/PV10_05390/PV10_08306/PV10_07809;11;Biologycal process;1.8;0.8
GO:0006511;ubiquitin-dependent protein catabolic process;37/1341;63/3125;0,00774;0,21508;0,20035;PV10_06440/PV10_02236/PV10_04899/PV10_08713/PV10_06975/PV10_07892/PV10_04269/PV10_06891/PV10_02975/PV10_02962/PV10_06664/PV10_00892/PV10_03170/PV10_05783/PV10_00493/PV10_05622/PV10_00864/PV10_07726/PV10_06497/PV10_06162/PV10_04578/PV10_03982/PV10_06615/PV10_00237/PV10_06684/PV10_02524/PV10_08363/PV10_07150/PV10_05479/PV10_06243/PV10_06160/PV10_03996/PV10_07516/PV10_00691/PV10_03535/PV10_03775/PV10_06527;37;Biologycal process;1.4;2.8
GO:0072525;pyridine-containing compound biosynthetic process;12/1341;16/3125;0,00944;0,21508;0,20035;PV10_02009/PV10_03047/PV10_06674/PV10_04504/PV10_04101/PV10_06404/PV10_06043/PV10_03758/PV10_01421/PV10_07010/PV10_05955/PV10_05028;12;Biologycal process;1.7;0.9
GO:0006913;nucleocytoplasmic transport;17/1341;25/3125;0,0098;0,21508;0,20035;PV10_00693/PV10_07807/PV10_00254/PV10_06133/PV10_01597/PV10_01518/PV10_06388/PV10_00863/PV10_08757/PV10_04191/PV10_00846/PV10_08034/PV10_05121/PV10_07049/PV10_05390/PV10_08306/PV10_07809;17;Biologycal process;1.6;1.3
GO:0005635;nuclear envelope;18/1627;27/3748;0,01236;0,17238;0,15862;PV10_08713/PV10_08458/PV10_07455/PV10_04472/PV10_01597/PV10_05939/PV10_06388/PV10_09190/PV10_03595/PV10_06697/PV10_07349/PV10_08034/PV10_05223/PV10_08524/PV10_01839/PV10_05143/PV10_08306/PV10_00608;18;Cellular component;1.5;1.1
GO:0005886;plasma membrane;51/1627;92/3748;0,01256;0,17238;0,15862;PV10_05644/PV10_05015/PV10_02093/PV10_01307/PV10_00705/PV10_08380/PV10_08661/PV10_07672/PV10_01465/PV10_03106/PV10_03902/PV10_01466/PV10_07573/PV10_05666/PV10_06668/PV10_00912/PV10_07457/PV10_01259/PV10_05408/PV10_04589/PV10_00706/PV10_02257/PV10_05979/PV10_05013/PV10_02056/PV10_09048/PV10_07071/PV10_00525/PV10_05124/PV10_07611/PV10_07576/PV10_06526/PV10_03128/PV10_07640/PV10_02486/PV10_01878/PV10_05614/PV10_01690/PV10_08182/PV10_01360/PV10_06405/PV10_02716/PV10_04900/PV10_00982/PV10_04864/PV10_03451/PV10_01827/PV10_03797/PV10_00797/PV10_02800/PV10_04059;51;Cellular component;1.3;3.1
GO:0008324;cation transmembrane transporter activity;60/2019;115/4821;0,01551;0,327;0,31029;PV10_03937/PV10_02139/PV10_03210/PV10_02761/PV10_02141/PV10_03038/PV10_05068/PV10_05812/PV10_03639/PV10_07101/PV10_05464/PV10_06213/PV10_02569/PV10_01751/PV10_08033/PV10_08380/PV10_04924/PV10_08661/PV10_07573/PV10_06668/PV10_05379/PV10_08296/PV10_03702/PV10_07165/PV10_01037/PV10_04769/PV10_01486/PV10_05779/PV10_02199/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_07640/PV10_07541/PV10_01169/PV10_01315/PV10_01185/PV10_03432/PV10_00124/PV10_05703/PV10_07128/PV10_07210/PV10_05525/PV10_08182/PV10_08251/PV10_05324/PV10_06559/PV10_03831/PV10_05809/PV10_04900/PV10_04941/PV10_04864/PV10_03451/PV10_03053/PV10_06593/PV10_04628/PV10_02800/PV10_04059;60;Molecular process;1.2;3
GO:0015630;microtubule cytoskeleton;26/1627;43/3748;0,01762;0,22166;0,20397;PV10_04635/PV10_02722/PV10_01753/PV10_07761/PV10_03214/PV10_02908/PV10_04956/PV10_04693/PV10_08553/PV10_00790/PV10_05914/PV10_03747/PV10_08040/PV10_00240/PV10_01329/PV10_05978/PV10_06893/PV10_00591/PV10_00313/PV10_01387/PV10_06384/PV10_01605/PV10_01596/PV10_08981/PV10_03913/PV10_03867;26;Cellular component;1.4;1.6
GO:0005667;transcription regulator complex;17/1627;26/3748;0,01955;0,22702;0,2089;PV10_01662/PV10_00436/PV10_04035/PV10_03751/PV10_06920/PV10_05091/PV10_06375/PV10_01675/PV10_07690/PV10_04282/PV10_06838/PV10_01137/PV10_04777/PV10_01598/PV10_07253/PV10_00388/PV10_04003;17;Cellular component;1.5;1
GO:0008092;cytoskeletal protein binding;31/2019;55/4821;0,02072;0,38545;0,36576;PV10_06332/PV10_04635/PV10_04063/PV10_06586/PV10_01307/PV10_00966/PV10_06268/PV10_03214/PV10_02908/PV10_01778/PV10_01466/PV10_05704/PV10_04693/PV10_05480/PV10_05527/PV10_07911/PV10_01569/PV10_05740/PV10_06526/PV10_07659/PV10_06893/PV10_06262/PV10_00313/PV10_06405/PV10_05602/PV10_01605/PV10_07854/PV10_03913/PV10_08086/PV10_05348/PV10_04773;31;Molecular process;1.3;1.5
GO:0016591;RNA polymerase II, holoenzyme;14/1627;21/3748;0,02681;0,26987;0,24833;PV10_04035/PV10_03751/PV10_06920/PV10_05091/PV10_06375/PV10_06724/PV10_03006/PV10_04282/PV10_06838/PV10_01137/PV10_06913/PV10_01598/PV10_00388/PV10_04003;14;Cellular component;1.5;0.9
GO:0022890;inorganic cation transmembrane transporter activity;56/2019;109/4821;0,02713;0,3972;0,3769;PV10_03937/PV10_02139/PV10_03210/PV10_02761/PV10_02141/PV10_03038/PV10_05068/PV10_05812/PV10_03639/PV10_07101/PV10_05464/PV10_06213/PV10_02569/PV10_01751/PV10_08033/PV10_08380/PV10_08661/PV10_07573/PV10_06668/PV10_05379/PV10_08296/PV10_03702/PV10_01037/PV10_04769/PV10_01486/PV10_05779/PV10_02199/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_07640/PV10_07541/PV10_01169/PV10_01315/PV10_03432/PV10_00124/PV10_05703/PV10_07128/PV10_07210/PV10_05525/PV10_08182/PV10_08251/PV10_05324/PV10_06559/PV10_03831/PV10_05809/PV10_04900/PV10_04941/PV10_04864/PV10_03451/PV10_06593/PV10_04628/PV10_02800/PV10_04059;56;Molecular process;13.4;2.8
GO:0005874;microtubule;20/1627;33/3748;0,03451;0,27423;0,25234;PV10_04635/PV10_01753/PV10_03214/PV10_02908/PV10_04956/PV10_04693/PV10_08553/PV10_00790/PV10_05914/PV10_03747/PV10_08040/PV10_00240/PV10_01329/PV10_06893/PV10_00313/PV10_01387/PV10_06384/PV10_01605/PV10_03913/PV10_03867;20;Cellular component;1.4;1.2
GO:0099081;supramolecular polymer;20/1627;33/3748;0,03451;0,27423;0,25234;PV10_04635/PV10_01753/PV10_03214/PV10_02908/PV10_04956/PV10_04693/PV10_08553/PV10_00790/PV10_05914/PV10_03747/PV10_08040/PV10_00240/PV10_01329/PV10_06893/PV10_00313/PV10_01387/PV10_06384/PV10_01605/PV10_03913/PV10_03867;20;Cellular component;1.4;1.2
GO:0022853;active ion transmembrane transporter activity;27/2019;49/4821;0,04176;0,47392;0,4497;PV10_03937/PV10_02139/PV10_03210/PV10_00452/PV10_05068/PV10_03639/PV10_06213/PV10_01751/PV10_08033/PV10_07573/PV10_05379/PV10_07964/PV10_03702/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_05703/PV10_05525/PV10_08182/PV10_03831/PV10_01270/PV10_04941/PV10_06593/PV10_04628/PV10_01274;27;Molecular process;1.3;1.3
GO:0009055;electron transfer activity;sep-19;13/4821;0,0435;0,47392;0,4497;PV10_08453/PV10_01571/PV10_06810/PV10_03045/PV10_01350/PV10_05996/PV10_03037/PV10_00919/PV10_08178;9;Molecular process;1.7;0.4
GO:0016887;ATP hydrolysis activity;67/2019;138/4821;0,06431;0,52274;0,49603;PV10_03166/PV10_03937/PV10_02139/PV10_03210/PV10_02726/PV10_01925/PV10_03455/PV10_02220/PV10_09203/PV10_03639/PV10_04526/PV10_06213/PV10_00095/PV10_01362/PV10_07260/PV10_05328/PV10_01431/PV10_05190/PV10_03692/PV10_08033/PV10_02814/PV10_06978/PV10_07626/PV10_05646/PV10_05899/PV10_05744/PV10_05657/PV10_06176/PV10_07194/PV10_00224/PV10_08871/PV10_03991/PV10_02444/PV10_07573/PV10_07248/PV10_02798/PV10_08310/PV10_01764/PV10_04652/PV10_02782/PV10_02846/PV10_08444/PV10_02230/PV10_08108/PV10_04686/PV10_04133/PV10_02154/PV10_05499/PV10_05180/PV10_01366/PV10_01828/PV10_00361/PV10_05525/PV10_07197/PV10_00244/PV10_08002/PV10_06587/PV10_01522/PV10_03831/PV10_05011/PV10_02422/PV10_03571/PV10_06593/PV10_07396/PV10_02584/PV10_05907/PV10_04313;67;Molecular process;1.7;3.3
GO:0022804;active transmembrane transporter activity;48/2019;96/4821;0,06436;0,52274;0,49603;PV10_03937/PV10_02139/PV10_03210/PV10_02726/PV10_00452/PV10_02220/PV10_02114/PV10_05068/PV10_09203/PV10_03639/PV10_06213/PV10_01362/PV10_01751/PV10_03692/PV10_03681/PV10_08033/PV10_07626/PV10_05744/PV10_06176/PV10_07539/PV10_08871/PV10_07573/PV10_05379/PV10_07964/PV10_03702/PV10_02230/PV10_02154/PV10_01379/PV10_05124/PV10_01843/PV10_01521/PV10_06300/PV10_00361/PV10_00124/PV10_05703/PV10_05525/PV10_08178/PV10_02310/PV10_08182/PV10_00244/PV10_03831/PV10_01270/PV10_03571/PV10_04941/PV10_06593/PV10_04628/PV10_04313/PV10_01274;48;Molecular process;1.2;2.4
GO:0051536;iron-sulfur cluster binding;30/2019;57/4821;0,06503;0,52274;0,49603;PV10_08453/PV10_00130/PV10_03045/PV10_00860/PV10_01350/PV10_02113/PV10_01500/PV10_05318/PV10_09073/PV10_04277/PV10_00430/PV10_00300/PV10_06911/PV10_04791/PV10_08238/PV10_07873/PV10_07084/PV10_01567/PV10_04813/PV10_08178/PV10_06915/PV10_08579/PV10_01686/PV10_07753/PV10_08042/PV10_04366/PV10_08459/PV10_01825/PV10_08922/PV10_08872;30;Molecular process;1.3;1.5
GO:0051540;metal cluster binding;30/2019;57/4821;0,06503;0,52274;0,49603;PV10_08453/PV10_00130/PV10_03045/PV10_00860/PV10_01350/PV10_02113/PV10_01500/PV10_05318/PV10_09073/PV10_04277/PV10_00430/PV10_00300/PV10_06911/PV10_04791/PV10_08238/PV10_07873/PV10_07084/PV10_01567/PV10_04813/PV10_08178/PV10_06915/PV10_08579/PV10_01686/PV10_07753/PV10_08042/PV10_04366/PV10_08459/PV10_01825/PV10_08922/PV10_08872;30;Molecular process;1.3;1.5
