Term;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count;GO;rich_factor;percentages
GO:0022853;active ion transmembrane transporter activity;12/591;49/4821;0,01308;0,375;0,36538;PV10_06593/PV10_06213/PV10_04941/PV10_00782/PV10_03937/PV10_03210/PV10_00452/PV10_08890/PV10_01274/PV10_06063/PV10_06300/PV10_08033;12;Molecular Function;2;2
GO:0008483;transaminase activity;7/591;22/4821;0,01308;0,375;0,36538;PV10_05314/PV10_02051/PV10_04394/PV10_07234/PV10_07954/PV10_02509/PV10_05924;7;Molecular Function;2.6;2
GO:0016769;transferase activity, transferring nitrogenous groups;7/591;22/4821;0,01308;0,375;0,36538;PV10_05314/PV10_02051/PV10_04394/PV10_07234/PV10_07954/PV10_02509/PV10_05924;7;Molecular Function;2.6;1.2
GO:0000293;ferric-chelate reductase activity;5/591;13/4821;0,01508;0,375;0,36538;PV10_01802/PV10_02760/PV10_05325/PV10_05795/PV10_00849;5;Molecular Function;3.1;1.2
GO:0016887;ATP hydrolysis activity;26/591;138/4821;0,0155;0,375;0,36538;PV10_06593/PV10_06213/PV10_00782/PV10_04526/PV10_02422/PV10_05190/PV10_03937/PV10_00779/PV10_05108/PV10_03210/PV10_04313/PV10_01366/PV10_08890/PV10_08310/PV10_03455/PV10_07808/PV10_08871/PV10_02380/PV10_01795/PV10_02846/PV10_03692/PV10_08033/PV10_05838/PV10_03571/PV10_00305/PV10_08177;26;Molecular Function;1.5;4.4
GO:0005543;phospholipid binding;8/591;29/4821;0,01995;0,39347;0,38337;PV10_07857/PV10_08776/PV10_03123/PV10_08761/PV10_03338/PV10_07633/PV10_00937/PV10_00346;8;Molecular Function;2.3;1.4
GO:0042626;ATPase-coupled transmembrane transporter activity;14/591;64/4821;0,02065;0,39347;0,38337;PV10_06593/PV10_06213/PV10_00782/PV10_03937/PV10_00779/PV10_03210/PV10_04313/PV10_08890/PV10_08871/PV10_02380/PV10_03692/PV10_08033/PV10_05838/PV10_03571;14;Molecular Function;1.8;2.5
GO:0016722;oxidoreductase activity, acting on metal ions;5/591;14/4821;0,02114;0,39347;0,38337;PV10_01802/PV10_02760/PV10_05325/PV10_05795/PV10_00849;5;Molecular Function;3;0.8
GO:0046873;metal ion transmembrane transporter activity;12/591;53/4821;0,02399;0,4146;0,40396;PV10_04941/PV10_08296/PV10_02761/PV10_05779/PV10_00124/PV10_07101/PV10_08890/PV10_06063/PV10_06300/PV10_08033/PV10_02569/PV10_01315;12;Molecular Function;1.8;2
GO:0015075;ion transmembrane transporter activity;25/591;140/4821;0,0321;0,51312;0,49995;PV10_06593/PV10_06213/PV10_04941/PV10_08296/PV10_02761/PV10_00782/PV10_02472/PV10_03937/PV10_02176/PV10_03210/PV10_05779/PV10_00124/PV10_00452/PV10_07101/PV10_08890/PV10_00853/PV10_07703/PV10_02141/PV10_01274/PV10_04769/PV10_06063/PV10_06300/PV10_08033/PV10_02569/PV10_01315;25;Molecular Function;1.5;4.2
